Box,Strain,Date,Name,Genus,species,Strain Synonym,
5,XW005,8/16/17,AEB,,,,
5,AD122,8/16/17,AEB,,,,
5,AD110,8/16/17,AEB,,,,
5,AD112,8/16/17,AEB,,,,
5,AD277,8/16/17,AEB,,,,
5,XW005,8/16/17,AEB,,,,
5,AD122,8/16/17,AEB,,,,
5,AD110,8/16/17,AEB,,,,
5,AD112,8/16/17,AEB,,,,
5,AD277,8/16/17,AEB,,,,
5,AD017,8/14/17,AEB,,,,
5,AD098,8/14/17,AEB,,,,
5,AD263,8/15/17,AEB,,,,
5,AD270,8/15/17,AEB,,,,
5,AV003,8/15/17,AEB,,,,
5,AD017,8/14/17,AEB,,,,
5,AD098,8/14/17,AEB,,,,
5,AD263,8/15/17,AEB,,,,
5,AD270,8/15/17,AEB,,,,
5,AV003,8/15/17,AEB,,,,
5,AD099,8/14/17,AEB,,,,
5,AD091,8/14/17,AEB,,,,
5,AD102,8/14/17,AEB,,,,
5,AD037,8/14/17,AEB,,,,
5,AD100,8/14/17,AEB,,,,
5,AD099,8/14/17,AEB,,,,
5,AD091,8/14/17,AEB,,,,
5,AD102,8/14/17,AEB,,,,
5,AD037,8/14/17,AEB,,,,
5,AD100,8/14/17,AEB,,,,
5,REBO31X,8/10/17,AEB,,,,
5,CK202,8/10/17,AEB,,,,
5,TTC181,8/10/17,AEB,,,,
5,CK241,8/10/17,AEB,,,,
5,CK413,8/14/17,AEB,,,,
5,REBO31X,8/10/17,AEB,,,,
5,CK202,8/10/17,AEB,,,,
5,TTC181,8/10/17,AEB,,,,
5,CK241,8/10/17,AEB,,,,
5,CK413,8/14/17,AEB,,,,
5,REB019A,8/10/17,AEB,,,,
5,REB0108,8/10/17,AEB,,,,
5,TTC227,8/10/17,AEB,,,,
5,CK1268,8/10/17,AEB,,,,
5,CK1249,8/10/17,AEB,,,,
5,REB019A,8/10/17,AEB,,,,
5,REB0108,8/10/17,AEB,,,,
5,TTC227,8/10/17,AEB,,,,
5,CK1268,8/10/17,AEB,,,,
5,CK1249,8/10/17,AEB,,,,
5,REB049A,8/10/17,AEB,,,,
5,REB008A,8/10/17,AEB,,,,
5,CK271,8/10/17,AEB,,,,
5,TLT204,8/10,AEB,,,,
5,CK1335,8/10/17,AEB,,,,
5,REB049A,8/10/17,AEB,,,,
5,REB008A,8/10/17,AEB,,,,
5,CK271,8/10/17,AEB,,,,
5,TLT204,8/10,AEB,,,,
5,CK1335,8/10/17,AEB,,,,
5,AD211,8/16/17,AEB,,,,
5,KOD1030,7/26/17,AEB,,,,
5,14PY25W,7/25/17,AEB,,,,
5,14PY25W RT,7/25/17,AEB,,,,
5,AD208,8/16/17,AEB,,,,
5,AD123 (147),3/24/17,AEB,,,,
5,AD211,8/16/17,AEB,,,,
5,KOD1030,7/26/17,AEB,,,,
5,AD208,8/16/17,AEB,,,,
6,WA67=M63,4/3/16,Jul,,,,
6,M25,4/3/19,Jul,,,,
6,GRM34A,4/3/19,Jul,,,,
6,CB5116204,4/3/19,Jul,,,,
6,GRM49prim,4/3/19,Jul,,,,
6,MGC79=WA67164,4/3/19,Jul,,,,
6,CBS253.36,4/3/19,Jul,,,,
6,MGC109,4/3/19,Jul,,,,
6,GRM45prim,4/3/19,Jul,,,,
6,WA67178,4/3/19,Jul,,,,
6,WA18942,4/3/19,Jul,,,,
6,MGC100,4/3/19,Jul,,,,
6,WA67140=M43,4/3/19,Jul,,,,
6,GRM51A,4/3/19,Jul,,,,
6,5341,4/3/19,Jul,,,,
6,WA67163MGC82,4/3/19,Jul,,,,
6,JL80,4/17/19,Jul,,,,
6,JL81,4/17/19,Jul,,,,
6,JL82,5/27/19,Jul,,,,
6,JL83,5/13/19,Jul,,,,
6,JL93,6/10/19,Jul,,,,
6,JL94,6/10/19,Jul,,,,
6,JL83,5/27/19,Jul,,,,
6,JL84,5/27/19,Jul,,,,
6,JL85,6/10/19,Jul,,,,
6,JL86,6/10/19,Jul,,,,
6,JL87,6/10/19,Jul,,,,
6,JL88,6/10/19,Jul,,,,
6,JL90,6/10/19,Jul,,,,
6,JL91,6/10/19,Jul,,,,
6,JL92,6/10/19,Jul,,,,
6,JL95,6/10/19,Jul,,,,
6,JL96,6/17/19,Jul,,,,
6,JL97,6/17/19,Jul,,,,
6,JL98,6/12/19,Jul,,,,
6,JL99,6/12/19,Jul,,,,
6,JL100,6/12/19,Jul,,,,
6,JL101,6/12/19,Jul,,,,
6,JL102,6/12/19,Jul,,,,
6,JL103,6/24/19,Jul,,,,
6,JL104,6/24/19,Jul,,,,
6,JL105,6/24/19,Jul,,,,
6,JL106,6/24/19,Jul,,,,
6,JL107,6/24/19,Jul,,,,
6,JL108,7/1/19,Jul,,,,
6,JL109,7/1/19,Jul,,,,
6,JL110,7/1/19,Jul,,,,
6,UL105,7/24/19,Jul,,,,
7,GBU7,6/25/14,,,,,
7,36777,11/21/17,,,,,
7,W1,1/22/14,,,,,
7,W2,1/22/18,,,,,
7,L-auto,10/13/18,,,,,
7,,,Bryan,Flammulina,velutipes,,
7,,,Bryan,Flammulina,velutipes,,
7,BR1146 GB-C1-1-5,6/11/19,,,,,
7,MSU,8/21/17,Bryan,Hericium,erinaceus,,
7,,8/21/17,Bryan,Mycena,spp.,,
7,,8/21/17,Bryan,Agarikon,,,
7,2,8/21/17,Bryan,Hericium,erinaceus,,
7,,8/21/17,Bryan,Mycena,spp.,,
7,MSU,8/21/17,Bryan,Hericium,erinaceus.,,
7,,8/21/17,Bryan,Agarikon,,,
7,BR1122 (CH102),6/11/19,Bryan,M.,americana,,
7,BR1082,6/11/19,Bryan,M.,americana,,
7,BR112C,6/11/19,Bryan,,,,
7,BR1126,6/11/19,Bryan,,,,
7,BR1138,6/27/19,Bryan,,,,
7,BR1138,6/11/19,Bryan,,,,
7,BR114a,6/11/19,Bryan,,,,
7,BR112,6/11/19,Bryan,,,,
7,BR112,5/28/19,Bryan,,,,
7,BR113a,6/11/19,Bryan,,,,
7,BR102,6/11/14,Bryan,,,,
7,BR104,6/11/19,Bryan,M.,americana,,
7,BR104,6/11/19,Bryan,,,,
7,BR105,6/25/19,Bryan,,,,
7,BR405,6/24/19,Bryan,M.,americana,,
7,BR106,6/11/19,Bryan,,,,
7,BR106,6/11/19,Bryan,M.,americana,,
7,BR107A,6/11/19,Bryan,,,,
7,BR1025,6/24/19,Bryan,,,,
7,BR108,6/11/19,Bryan,,,,
7,DR936,1/24/19,,,,,
7,BR436,1/24/19,,,,,
7,BR94A,5/28/14,,,,,
7,BR94A,5/28/14,,V.,conica,,
7,BR96,6/11/19,,,,,
7,BR46,6/11/19,,M.,americana,,
7,BRA8,1/24/19,,,,,
7,BR99,1/24/19,,,,,
7,BR99C,5/24/19,,,,,
7,BR39,6/1/17,,M.,americana,,
7,BR936,5/28/19,,M.,americana,,
7,BR92a,5/24/19,,V.,conica,,
7,BR92b,6/11/19,,V.,conica,,
7,BR91,6/11/19,,L.,edodes,,
7,BR90,6/11/19,,,,,
7,BR82,5/21/19,,,,,
7,BR83,5/24/19,,,,,
7,BR39,6/1/17,,M.,americana,,
7,BR39,6/1/17,,M.,americana,,
7,FOP,5/24/19,,P.,djumor,,
7,BR39,2/23/17,,,,,
